url,status,title,title_len,meta_desc_len,canonical,h1,robots,og_type,has_jsonld,word_count
"/",200,"Création de Site Internet Hautes-Alpes (Embrun, Gap)",53,155,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
"/prestations",200,"Prestations Web &amp; SEO — Création, Refonte, Maintenance | Hautes-Alpes | Face Nord Graphisme",98,180,"https://www.facenordgraphisme.fr/prestations","Face Nord","index, follow","",2,0
"/creation-site-internet-hautes-alpes",200,"Création Site Internet Hautes-Alpes — Face Nord Graphisme | Face Nord Graphisme",82,173,"https://www.facenordgraphisme.fr/creation-site-internet-hautes-alpes","Face Nord","index, follow","",2,0
"/boutique-e-commerce-hautes-alpes",200,"Boutique E-commerce Hautes-Alpes — WooCommerce &amp; Next.js | Face Nord Graphisme",84,182,"https://www.facenordgraphisme.fr/boutique-e-commerce-hautes-alpes","Face Nord","index, follow","",2,0
"/referencement-seo-hautes-alpes",200,"Référencement SEO Hautes-Alpes — Expert SEO local Gap, Briançon, Embrun | Face Nord Graphisme",98,163,"https://www.facenordgraphisme.fr/referencement-seo-hautes-alpes","Face Nord","index, follow","",2,0
"/refonte-ai-friendly",200,"Refonte Site Internet AI-Friendly — Hautes-Alpes | Face Nord Graphisme | Face Nord Graphisme",94,185,"https://www.facenordgraphisme.fr/refonte-ai-friendly","Face Nord","index, follow","",2,0
"/refonte-ia-friendly",200,"Refonte IA Friendly | Hautes-Alpes (Embrun, Gap) | Face Nord Graphisme",70,278,"https://www.facenordgraphisme.fr/refonte-ia-friendly","Face Nord","index, follow","website",3,0
"/maintenance-site-internet-hautes-alpes",200,"Maintenance Site Internet Hautes-Alpes — WordPress &amp; Next.js | Face Nord Graphisme",88,191,"https://www.facenordgraphisme.fr/maintenance-site-internet-hautes-alpes","Face Nord","index, follow","",2,0
"/referencement-ia",200,"Référencement IA — GEO &amp; AI Overviews | Face Nord Graphisme Hautes-Alpes | Face Nord Graphisme",102,185,"https://www.facenordgraphisme.fr/referencement-ia","Face Nord","index, follow","",2,0
"/portfolio",200,"Portfolio | Réalisations Web Hautes-Alpes | Face Nord Graphisme",64,135,"https://www.facenordgraphisme.fr","Face Nord","index, follow","website",2,0
